[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 83/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 84/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 84/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 85/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 85/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 86/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 86/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 87/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 87/241, checking fields: 2
[ Info: 48_33: layer 2/3, base field no. 87/241, 1/2
[ Info: 48_33: layer 2/3, base field no. 87/241, 2/2
[ Info: 48_33: layer 2/3, base field no. 88/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 88/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 88/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 89/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 89/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 90/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 90/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 91/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 91/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 92/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 92/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 93/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 93/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 94/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 94/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 95/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 95/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 96/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 96/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 97/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 97/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 98/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 98/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 99/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 99/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 100/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 100/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 101/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 101/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 102/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 102/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 103/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 103/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 104/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 104/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 105/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 105/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 105/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 106/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 106/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 107/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 107/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 108/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 108/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 109/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 109/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 110/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 110/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 111/241, constructing abelian extensions
