[ Info: 88_4: File for first layer exists [2, 4], 18738174228604; loading ...
[ Info: 88_4: layer 2/2, base field no. 146/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 147/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 147/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 148/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 148/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 149/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 149/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 150/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 150/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 151/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 151/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 152/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 152/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 153/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 153/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 154/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 154/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 155/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 155/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 156/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 156/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 157/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 157/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 158/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 158/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 159/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 159/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 160/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 160/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 161/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 161/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 162/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 162/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 163/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 163/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 164/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 164/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 165/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 165/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 166/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 166/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 167/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 167/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 168/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 168/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 169/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 169/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 170/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 170/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 171/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 171/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 172/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 172/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 173/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 173/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 174/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 174/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 175/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 175/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 176/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 176/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 177/264, constructing abelian extensions
[ Info: 88_4: layer 2/2, base field no. 177/264, checking fields: 0
[ Info: 88_4: layer 2/2, base field no. 178/264, constructing abelian extensions
