[ Info: File for first layer exists [2, 4], 10000000000000000; loading ...
[ Info: layer 2/2, base field no. 6/1213, 136/152
[ Info: layer 2/2, base field no. 6/1213, 137/152
[ Info: layer 2/2, base field no. 6/1213, 138/152
[ Info: layer 2/2, base field no. 6/1213, 139/152
[ Info: layer 2/2, base field no. 6/1213, 140/152
[ Info: layer 2/2, base field no. 6/1213, 141/152
[ Info: layer 2/2, base field no. 6/1213, 142/152
[ Info: layer 2/2, base field no. 6/1213, 143/152
[ Info: layer 2/2, base field no. 6/1213, 144/152
[ Info: layer 2/2, base field no. 6/1213, 145/152
[ Info: layer 2/2, base field no. 6/1213, 146/152
[ Info: layer 2/2, base field no. 6/1213, 147/152
[ Info: layer 2/2, base field no. 6/1213, 148/152
[ Info: layer 2/2, base field no. 6/1213, 149/152
[ Info: layer 2/2, base field no. 6/1213, 150/152
[ Info: layer 2/2, base field no. 6/1213, 151/152
[ Info: layer 2/2, base field no. 6/1213, 152/152
[ Info: Processing fields in layer 2/2
[ Info: layer 2/2, base field no. 7/1213, 1/65
[ Info: layer 2/2, base field no. 7/1213, 2/65
[ Info: layer 2/2, base field no. 7/1213, 3/65
[ Info: layer 2/2, base field no. 7/1213, 4/65
[ Info: layer 2/2, base field no. 7/1213, 5/65
[ Info: layer 2/2, base field no. 7/1213, 6/65
[ Info: layer 2/2, base field no. 7/1213, 7/65
[ Info: layer 2/2, base field no. 7/1213, 8/65
[ Info: layer 2/2, base field no. 7/1213, 9/65
[ Info: layer 2/2, base field no. 7/1213, 10/65
[ Info: layer 2/2, base field no. 7/1213, 11/65
[ Info: layer 2/2, base field no. 7/1213, 12/65
[ Info: layer 2/2, base field no. 7/1213, 13/65
[ Info: layer 2/2, base field no. 7/1213, 14/65
[ Info: layer 2/2, base field no. 7/1213, 15/65
[ Info: layer 2/2, base field no. 7/1213, 16/65
[ Info: layer 2/2, base field no. 7/1213, 17/65
[ Info: layer 2/2, base field no. 7/1213, 18/65
[ Info: layer 2/2, base field no. 7/1213, 19/65
[ Info: layer 2/2, base field no. 7/1213, 20/65
[ Info: layer 2/2, base field no. 7/1213, 21/65
[ Info: layer 2/2, base field no. 7/1213, 22/65
[ Info: layer 2/2, base field no. 7/1213, 23/65
[ Info: layer 2/2, base field no. 7/1213, 24/65
[ Info: layer 2/2, base field no. 7/1213, 25/65
[ Info: layer 2/2, base field no. 7/1213, 26/65
[ Info: layer 2/2, base field no. 7/1213, 27/65
[ Info: layer 2/2, base field no. 7/1213, 28/65
[ Info: layer 2/2, base field no. 7/1213, 29/65
[ Info: layer 2/2, base field no. 7/1213, 30/65
[ Info: layer 2/2, base field no. 7/1213, 31/65
[ Info: layer 2/2, base field no. 7/1213, 32/65
[ Info: layer 2/2, base field no. 7/1213, 33/65
[ Info: layer 2/2, base field no. 7/1213, 34/65
[ Info: layer 2/2, base field no. 7/1213, 35/65
[ Info: layer 2/2, base field no. 7/1213, 36/65
[ Info: layer 2/2, base field no. 7/1213, 37/65
[ Info: layer 2/2, base field no. 7/1213, 38/65
[ Info: layer 2/2, base field no. 7/1213, 39/65
[ Info: layer 2/2, base field no. 7/1213, 40/65
[ Info: layer 2/2, base field no. 7/1213, 41/65
[ Info: layer 2/2, base field no. 7/1213, 42/65
[ Info: layer 2/2, base field no. 7/1213, 43/65
[ Info: layer 2/2, base field no. 7/1213, 44/65
[ Info: layer 2/2, base field no. 7/1213, 45/65
[ Info: layer 2/2, base field no. 7/1213, 46/65
[ Info: layer 2/2, base field no. 7/1213, 47/65
[ Info: layer 2/2, base field no. 7/1213, 48/65
[ Info: layer 2/2, base field no. 7/1213, 49/65
[ Info: layer 2/2, base field no. 7/1213, 50/65
[ Info: layer 2/2, base field no. 7/1213, 51/65
[ Info: layer 2/2, base field no. 7/1213, 52/65
[ Info: layer 2/2, base field no. 7/1213, 53/65
[ Info: layer 2/2, base field no. 7/1213, 54/65
[ Info: layer 2/2, base field no. 7/1213, 55/65
[ Info: layer 2/2, base field no. 7/1213, 56/65
[ Info: layer 2/2, base field no. 7/1213, 57/65
[ Info: layer 2/2, base field no. 7/1213, 58/65
[ Info: layer 2/2, base field no. 7/1213, 59/65
[ Info: layer 2/2, base field no. 7/1213, 60/65
[ Info: layer 2/2, base field no. 7/1213, 61/65
[ Info: layer 2/2, base field no. 7/1213, 62/65
[ Info: layer 2/2, base field no. 7/1213, 63/65
[ Info: layer 2/2, base field no. 7/1213, 64/65
